Chromosome	Length(bp)	Total SNPs	kb per SNP	Total SNPs	kb per SNP	
1	214066000	129931	1.65	75166	2.85
2	222889000	103664	2.15	76985	2.90
3	186938000	93140	2.01	63669	2.94
4	169035000	84426	2.00	65719	2.57
5	170954000	117882	1.45	63545	2.69
6	165022000	96317	1.71	53797	3.07
7	149414000	71752	2.08	42327	3.53
8	125148000	57834	2.16	42653	2.93
9	107440000	62013	1.73	43020	2.50
10	127894000	61298	2.09	42466	3.01
11	129193000	84663	1.53	47621	2.71
12	125198000	59245	2.11	38136	3.28
13	93711000	53093	1.77	35745	2.62
14	89344000	44112	2.03	29746	3.00
15	73467000	37814	1.94	26524	2.77
16	74037000	38735	1.91	23328	3.17
17	73367000	34621	2.12	19396	3.78
18	73078000	45135	1.62	27028	2.70
19	56044000	25676	2.18	11185	5.01
20	63317000	29478	2.15	17051	3.71
21	33824000	20916	1.62	9103	3.72
22	33786000	28410	1.19	11056	3.06
X	131245000	34842	3.77	20400	6.43
Y	21753000	4193	5.19	1784	12.19
